Echelle CIA (coefficient d'imprégnation anticholinergique);;; ;V1 octobre 2021;;;;
;;;;;;;;
DCI;Spécialité;Classe thérapeutique;Score CIA;;Source : Briet, J. 2015. « Coefficient d’Imprégnation Anticholinergique?: Mise au point d’un nouveau score et application en population psychiatrique. » Thèse de Pharmacie, Université de Dijon, 90p;;;
Mequitazine;Primalan;Antihistaminique;3;;;;;
Methadone;Methadone;Sevrage opiacés;2;;;;;
Methocarbamol;Lumirelax;Myorelaxant;1;;;;;
Methylprednisolone;Medrol, Depomedrol, Solumedrol;Corticoïde;1;;;;;
Metoclopramide;Anausin, Primperan, Prokinyl;Désordres gastro-intestinaux;1;;;;;
Metoprolol;Logimax, Logroton, Lopressor, Seloken, Selozok;Betabloquant ;1;;;;;
Midazolam;Hypnovel, Versed;Hypnotique;1;;;;;
Mirtazapine;Norset;Antidépresseur;1;;;;;
Morphine;Actiskenan, Skenan, Oramorph, Sevredol, Moscontin, Morphine;Analgésique;1;;;;;
Nifedipine;Adalate, Beta adalate, Chronadalate, Tenordate;Inhibiteur calcique;1;;;;;
Nizatidine;Nizaxid;Antiulcéreux;1;;;;;
Nortriptyline;Nortrilen;Antidépresseur;3;;;;;
Olanzapine;Zalasta, Zyprexa, Zypadhera;Antipsychotique;2;;;;;
Oxazepam;Seresta;Anxiolytique;1;;;;;
Oxcarbazepine;Trileptal;Antiépileptique;2;;;;;
Oxybutynine;Ditropan, Driptane;Antispasmodique urinaire;3;;;;;
Oxycodone;Oxycontin, Oxynorm;Analgésique;1;;;;;
Paroxetine;Deroxat, Divarius;Antidépresseur;2;;;;;
Perphenazine;Decentan;Antipsychotique;3;;;;;
Pethidine;Retiré du marché (2018);Analgésique;2;;;;;
Phenelzine;Nardelzine, Nardil;Antidépresseur;1;;;;;
Pimozide;Orap;Antipsychotique;2;;;;;
Piperacilline;Tazocilline;Antibactérien;1;;;;;
Pipotiazine;Piportil;Antipsychotique;1;;;;;
Pramipexole;Orymea, Sifrol;Antiparkinsonien;1;;;;;
Prednisolone;;Corticoïde;1;;;;;
Prednisone;;Corticoïde;1;;;;;
Prochlorperazine;Algotropyl, Fluisedal, Phenergan, Rhinatolo, Tuissedal;Antihistaminique;3;;;;;
Propericiazine;Neuleptil;Antipsychotique;1;;;;;
Pseudoephedrine;Actifed, Dolirhume, Dolirhumepro, Actifed rhume, Humex rhume, Humex rhinite allergique, Nurofen rhume, Rhinadvil, Rhinureflex, Rhumagrip, Sudafed;Décongestionnant;2;;;;;
Quetiapine;Xeroquel;Antipsychotique;2;;;;;
Quinidine;Quinimax;Antipaludéen;1;;;;;
Ranitidine;Azantac, Raniplex;Désordres gastro-intestinaux;1;;;;;
Risperidone;Risperdal, Risperdalconsta;Antipsychotique;1;;;;;
Scopolamine;Scoburen;Antiémétique;3;;;;;
Selegiline;Deprenyl, Otrasel;Antiparkinsonien;1;;;;;
Sertraline;Zoloft;Antidépresseur;1;;;;;
Solifenacine;Vesicare;Antispasmodique urinaire;3;;;;;
Temazepam;Normison;Hypnotique;1;;;;;
Theophylline;Dilatrane, Euphylline, Tedralan, Theostat, Xanthium;Antiasthmatique;1;;;;;
Tizanidine;Sirdalud;Myorelaxant;3;;;;;
Tolterodine;Detrusitol;Antispasmodique urinaire;3;;;;;
Tramadol;Biodalgic, Contramal, Ixprim, Monoalgic, Monocrixo, Monotramal, Orozamudol, Topalgic, Takadol, Zaldiar, Zamudol, Zumalgic;Analgésique;1;;;;;
Trazodone;Trazolan, Trittico;Antidépresseur;1;;;;;
Triamcinolone;Hexatrione, Kenacort;Corticoïde;1;;;;;
Triamterene;Isobar, Prestole;Diurétique;1;;;;;
Trihexyphenidyle;Artane, Parkinane, Trihexy;Antiparkinsonien;3;;;;;
Trimipramine;Surmontil;Antidépresseur;3;;;;;
Triprolidine;Actifed rhume;Antihistaminique;2;;;;;
Tropatepine;Lepticur;Antiparkinsonien;3;;;;;
Trospium;Ceris;Antispasmodique urinaire;3;;;;;
Vancomycine;Vancomycine;Antibactérien;1;;;;;
Warfarine;Coumadine ;Anticoagulant;1;;;;;
